Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,150n,C5448879
"C10, C11",0402,2,47n,C5142571
"C12, C13, C15",0402,3,10u,C7393849
"C14, C16, C24, C25, C26, C27, C28, C29",0402,8,100n,C328914
C17,0603,1,1u,C76617
"C18, C19",0603,2,4.7u,C22399629
C2,0402,1,15n,C285020
"C20, C21",1206,2,22u,C6119995
C22,CP_Elec_5x5.4,1,100u,C7461241
C23,CP_Elec_6.3x7.7,1,470u,C5246516
"C3, C4",0402,2,1n,C541372
C30,0402,1,22n,C6266887
C5,0805,1,0,
"C6, C7",0402,2,10n,C284987
"C8, C9",0603,2,470n,C7503496
"D2, D3, D4, D5, D6, D7",LED_WS2812B2020,6,WS2812B,C965555
L1,1008,1,3.3u,C2049754
"R1, R8, R9",0402,3,220,C25091
R10,0402,1,24k,C25549
R11,0402,1,2.7k,C25885
R12,0402,1,390k,C25557
R13,0402,1,75k,C25570
"R14, R19, R20, R21, R3, R7",0402,6,10k,C25531
R16,0402,1,330,C12246
R17,0402,1,470,C25167
R18,0402,1,1M,C26087
R2,0805,1,220,C17557
R4,0402,1,20k,C25545
R5,0805,1,196,C407413
R6,0402,1,2.4k,C25882
U1,BQ51013BRHLT,1,BQ51013BRHLT,C2650154
U2,IC_BQ24073RGTR,1,BQ24073RGTR,C15220
U3,SOIC127P599X175-9N,1,FP6277XR-G1,C88312
U4,IC_74LVC1G17GW_125,1,74LVC1G17,C426705
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,ATtiny212-SS,C615533
