Designator,Mid X,Mid Y,Rotation,Layer
C1,32.3,-46.3,270.0,top
C10,30.8,-44.2,180.0,top
C11,31.6,-55.5,180.0,top
C12,30.4,-57.5,270.0,top
C13,29.3,-57.5,270.0,top
C14,31.5,-57.48,270.0,top
C15,26.8,-46.3,180.0,top
C16,26.8,-45.2,180.0,top
C17,62.840525,-30.54038,45.0,top
C18,62.540524,-37.34038,315.0,top
C19,66.740524,-33.040382,315.0,top
C2,33.4,-46.3,270.0,top
C20,66.6,-58.5,335.0,top
C21,55.5,-72.8,190.0,top
C22,53.8,-68.7,10.0,top
C23,36.593414,-64.729354,135.0,top
C24,50.4,-28.3,0.0,top
C25,68.892751,-39.15,300.0,top
C26,68.892751,-60.849999,240.0,top
C27,50.1,-71.7,180.0,top
C28,31.307248,-60.85,120.0,top
C29,31.307248,-39.15,60.0,top
C3,32.3,-48.5,90.0,top
C30,73.2,-55.4,270.0,top
C4,33.4,-48.5,90.0,top
C6,30.8,-46.8,180.0,top
C7,30.7,-52.6,180.0,top
C8,30.3,-45.5,180.0,top
C9,31.6,-54.2,180.0,top
D2,50.0,-26.5,180.0,top
D3,70.351596,-38.25,120.0,top
D4,70.351596,-61.75,60.0,top
D5,50.0,-73.5,0.0,top
D6,29.648403,-61.75,300.0,top
D7,29.648403,-38.25,240.0,top
L1,66.468821,-62.572389,305.0,top
R1,50.0,-29.99,180.0,top
R10,61.640523,-32.44038,135.0,top
R11,60.340523,-33.740382,135.0,top
R12,58.192524,-70.382233,235.0,top
R13,58.7,-68.5,125.0,top
R14,56.815535,-65.862216,115.0,top
R16,47.3,-25.9,0.0,top
R17,73.0,-53.8,0.0,top
R18,72.1125,-55.4,90.0,top
R19,48.3,-29.49,270.0,top
R2,27.4,-53.0,0.0,top
R20,47.1,-29.49,270.0,top
R21,50.0,-32.7,180.0,top
R3,27.01,-54.6,180.0,top
R4,29.4,-55.0,90.0,top
R5,27.7,-57.0,270.0,top
R6,64.740524,-31.440382,135.0,top
R7,59.1,-34.1,135.0,top
R8,47.6,-31.09,0.0,top
R9,50.0,-31.6,180.0,top
U1,28.95,-49.6,270.0,top
U2,63.720244,-34.6,45.0,top
U3,61.99422,-65.5,215.0,top
U4,69.7375,-56.0,180.0,top
U5,41.0,-32.8,115.0,top
